start,end,text
0,2000," How are y'all doing everyone?"
2000,4200," Happy Friday and welcome to the WAN Show."
4200,6480," We've got a great show lined up for you guys today."
6480,8480," We are well into Techtober."
8480,10320," We got pixels to talk about."
10320,12240," We got Arc GPUs to talk about."
12240,14720," We got 49, the GPUs to talk about."
14720,18240," We got 13th jet, wait, no, no, we're not talking about 13th gen."
18240,21200," Not that's till under NDA."
21200,22000," Hold on."
22000,23120," But there's lots more coming."
23120,23920," What else we got?"
23920,25440," I took all the good ones."
25440,25920," Got 'em."
25920,27040," I think you took everything."
27040,27760," No, no, no."
27760,31840," YouTube, test-putting 4K behind a pay wall."
31840,33440," I have the hottest take."
33440,34480," You do actually."
34480,35520," I actually have the hottest take."
35520,36960," And I am here for it this time."
36960,38480," I got your back."
38480,40880," Also, there was a made by Google event,"
40880,44640," which broadcasted all of the most boring things"
44640,46000," you could possibly imagine."
46000,46560," Oh, come on."
46560,48320," But we will make it interesting."
48320,49120," Oh, come on."
49120,50320," Just like we always do."
50320,52240," Hit it, Chewy."
52240,54880," How are you, Chewy?"
54880,59520," Oh, I got 'em."
59520,60720," Punch it."
60720,61520," Darn it."
61520,62880," Yeah, you work close."
62880,64800," I know."
64800,65840," He doesn't Star Wars."
65840,68160," He thinks he Star Wars is..."
68160,72480," He's a one of these Star Warsers."
72480,74880," Oh, there's no sound."
74880,77200," The show is brought to by Zoho One,"
77200,79440," Savage, Jerky, and Squarespace."
79440,81440," And I guess we're going to have to jump"
81440,83280," right into the big topic now."
83280,84240," Yeah."
84240,88320," I'm not going to break down the extremely long"
88320,91680," and detailed argument that I have for my position here."
91680,92560," Oh, we're gonna do it."
92560,94800," Because it's gonna be a separate video."
94800,96240," I recorded it today."
96240,98720," Hopefully it'll go up early next week."
98720,101040," But the word..."
101040,103520," Well, not the word on the street."
103520,110640," YouTube has tested putting 4K behind a YouTube premium paywall."
110640,114960," So essentially making access to the 4K resolution..."
114960,118160," I mean, it's not really a drop down because it pops up."
118160,120480," Jump up."
120480,122320," The comp, the comp, sure."
122320,122800," The comp, the collector, whatever."
122800,126960," YouTube has made access to the 4K quality selection"
126960,128480," in the cog in the player."
128480,131600," A premium exclusive feature,"
131600,134960," along with other premium features like background playback,"
134960,138320," the removal of ads, bundling with YouTube music,"
138320,139680," and such things."
139760,145760," This is an unexpected course change"
145760,151680," if you weren't really ready for it, I think."
151680,156960," I mean, considering that YouTube has over time done nothing but"
156960,161280," add higher resolution, higher quality media support..."
161280,162480," 360 video."
162480,165440," To their paid tier, 8K, HDR."
165440,169600," They have never actually hidden or blocked"
169600,171200," off or pay walled."
171200,173440," The highest quality experience."
173440,177440," Subtitles, no matter what it is."
177440,181840," It's always been available to everyone."
181840,184160," They introduced 4K in 2010."
184160,186720," They did 8K in 2015,"
186720,189840," which given the technical challenges around 8K,"
189840,195920," seven years ago, was kind of wild."
196720,201440," Honestly, I am surprised that more people didn't cause problems for them with it,"
201440,206000," because you don't need an 8K camera to export an 8K video"
206000,208080," and take advantage of that extra bit rate."
208080,211200," I'm surprised that more people didn't take advantage of it."
211200,215120," High refresh rate is another thing that YouTube has added for all users."
215120,217680," A lot of this all came at a pretty similar time."
217680,222640," It felt like there was almost a video technology kick that YouTube was on."
222640,225280," Around when they launched 8K,"
225280,228720," they launched 360 video, they launched VR support,"
228720,231440," which is kind of similar to 360 video, which is not exactly the same."
231440,233520," They launched all this other type of stuff."
233520,235440," They did all of it at a very similar time,"
235440,238800," and they've continued pushing for it, but not quite as hard as they did in the past."
238800,240000," Yeah, but here it is."
240000,243840," Confirmed, witnessed, out in the real world."
243840,247840," 2160p resolution premium feature."
247840,248560," Look at that."
248560,250400," Premium."
250400,251440," Tap to upgrade."
251440,252720," Tap to upgrade right there."
254640,256000," What else can we say about it?"
256000,258000," Excuse me."
258000,262000," And this is not just one post."
262000,264000," So there have been multiple posts on Reddit,"
264000,272560," and this is coming right on the heels of the extra unskippable ads controversy."
272560,277200," Just last month, which was as little as eight days ago,"
277200,282240," some users were experiencing up to 10 unskippable ads in a row."
282960,284720," YouTube said this was a small experiment."
284720,288800," Everything that I heard about it was off the record."
288800,293440," So I can't quote anybody or anything or whatever."
293440,299600," I can't tell you how I know any of this, but what I will say is that Google is a very"
299600,305120," engineering-focused company, and engineering, a scientific approach requires"
305120,309360," experimentation and evaluation of results."
309920,314960," And what I will say is that before you assume that YouTube is just a bunch of"
314960,324720," dunderheads, everyone that I did or didn't speak to, who knows, allegedly,"
324720,330880," knew that that was an extremely bad idea and that it was not necessary to test that."
330880,338080," Just so you guys know, I mean, it's not that I think YouTube does everything right by any"
338080,339280," stretch of the imagination."
339840,342480," But that I think was not."
342480,348560," I think that was more of like a policy problem than an actual, we think this is a good idea."
348560,350000," I think it's one of those situations where a"
350000,356400," problem, like a bunch of people probably really were very certain that something"
356400,357200," wouldn't work."
357200,360240," And then someone finally was like, \"Oh, we have to test it."
360240,361680," They tested it and it worked really well.\""
361680,365680," Or they like just differing from the expected result, right?"
365680,369040," And then the person who was right was like, \"No, now we have to test"
369040,369920," everything.\""
369920,375200," YouTube has been quoted saying the goal of that experiment was to see if it was a better"
375200,381600," experience for viewers to reduce the number of ad breaks while, of course,"
381600,383920," still getting all the ad revenue."
383920,388160," And I know the answer was no, that was not a better experience."
388160,396640," Which is honestly, I could kind of see it being a better experience sometimes."
396640,397840," Yeah, I could see."
397840,398560," Especially for music."
399520,399920," Yeah."
399920,404400," Yeah, I could see that having a longer uninterrupted period."
404400,406960," Like if you wanted to, I've never actually done this, but I know people do."
406960,412320," If you wanted to watch like a concert, having that get interrupted by an ad break would be"
412320,413200," really weird."
413200,414480," Yeah, that'd be really disruptive."
414480,415440," Yeah."
415440,416480," Yeah, I can see that."
416480,424160," Making matters even more challenging for web users who are not super into paying for premium"
424160,430000," and not super into ads, Chrome will be making it more difficult to use ad blocking extensions"
430000,433920," to rectify any of these problems for yourself."
433920,438160," Manifest V3 is the new extension platform for Chrome."
438160,443920," And they may start turning off support for V2 as early as January 2023, that's like three months,"
443920,444800," three and a half months."
444800,445840," Oh, yeah."
445840,452000," Most modern ad blockers rely on Chrome's web request API to block categories of HTTP requests."
452000,458160," But Manifest V3 requires devs to use a declarative, declarative net request,"
458160,464880," which forces them to use a block list of specific URLs and that list of rules is limited to 30,000"
464880,465680," entries."
465680,471280," Many ad blocking lists can exceed 300,000 entries to give you guys some idea."
471280,474640," Malvertising providers are rejoicing at this."
474640,480480," I think that's something a lot of people have misunderstood about our previous discussions"
480480,481680," around ad block."
481680,489360," I think that there are a lot of people who saw us make a video about Pihole and then saw me"
489360,496560," discuss the impact of ad blocking on online content creators and saw hypocrisy there."
496560,499760," But actually, there's no hypocrisy there."
499760,504560," There is an impact and technology like Pihole does exist and does have valid uses."
505520,513040," There's absolutely malicious advertising online or rather, not necessarily even advertising at"
513040,516800," that point. It's just malware, but it uses many of the same delivery mechanisms."
516800,518720," They sneak through advertising platforms."
518720,522880," And so this is..."
522880,528480," It's interesting. You block origin, I think, but I don't remember"
528480,532960," said that they believe strongly that they're going to be able to make it work."
533840,535600," But I'm trying to say that."
535600,536720," What else would they say?"
536720,537200," Yeah."
537200,538720," I'm sorry, guys. We will..."
538720,540320," We have no idea."
540320,542240," We're going to toss on the towel."
542240,542480," Yeah."
542480,546320," I'm hoping that it's a bit of a resurgence for Firefox."
546320,547360," That's my hope."
547360,550000," You're a Firefox fan, boy. I always forget about that."
550000,550640," Yeah."
550640,556560," I often end up not really being able to use it because I..."
556560,558880," It hasn't been very good in a long time."
558880,563280," And I have a pretty strong stance of if I'm using this thing for work,"
563280,565840," it has to be the best thing, even if I don't like it."
565840,566320," Yeah."
566320,571280," And having interruptions in my work because my browser is having issues when I could just"
571280,573360," use Chrome is unacceptable."
573360,577040," So I've been on Chrome for a while because every time I've tried Firefox, I've had issues."
577040,578400," But I know you're not happy about it."
578400,580160," But I'm not happy about it."
580160,581520," And I'm going to try..."
581520,582800," He's a nightly boy, you know?"
582800,584160," Yeah. I used to love that."
584160,585120," I know. I know."
585120,587200," And I deal with the problems when it was personal stuff."
587200,587440," Yeah."
587440,589120," But yeah."
589120,592400," So I'm going to try, again, probably in January."
593360,594080," Firefox."
594080,594640," Here we go."
594640,596240," Safari."
596240,599840," People were talking about it in the chat."
599840,602240," I'm like, sure, I'll pitch it for you."
602240,603360," I'll pitch it."
603360,604720," See you."
604720,605680," Go this way."
605680,608880," Now, aside from the ad blocking conversation,"
608880,610800," let's jump back to 4K for a second."
610800,616000," One of our discussion questions here is, should 4K be a premium perk?"
616000,618000," And it says here, most people don't even need it."
618000,620080," I think that's a deeper, longer conversation."
620080,621760," That's going to happen in the dedicated video."
621760,622400," Yeah."
622400,626640," But I want to have a separate conversation about Flowplane."
626640,630400," Our video platform, Flowplane.com."
630400,632640," Yeah, I know, right?"
632640,634080," Officially, Trailblazers."
634080,639040," Our video platform actually charges extra, not just a little bit."
639040,645200," It works out for the platform more than double for 4K."
645200,649200," And the way that that works, it's actually from $5 to $10,"
649200,653680," which is double. But the way that that works out is that at the lower transaction amount,"
653680,656720," it's more of it gets eaten up by credit card processing fees and stuff."
656720,657680," So hold on."
657680,660080," The $5 to $10 jump is your pricing."
660080,662560," You're just talking about the platform."
662560,663520," Oh, sorry."
663520,664240," Yes."
664240,669360," So the way that it ends up working on the line executives page that is on the platform"
669360,670960," is a $5 to $10 jump."
670960,674240," It's different."
674240,675040," Oh, OK."
675040,678000," So anyway, the point is, for you, the end user--"
678000,679520," Because creators can set their own pricing."
679520,680000," But it ends."
680000,681040," Yeah, it's double."
681040,685280," But the way that it actually works out is that it is more than double."
685280,689600," And the reason for that is that the additional cost of serving 4K is"
689600,694000," a lot more than I think people necessarily realize."
694000,699200," And bandwidth is hyper expensive and also very difficult."
699200,701360," So let's talk a little bit about that."
701360,706080," Because I tweeted about sort of my hot take about this whole thing"
706080,711520," that I think YouTube is actually not only maybe justified in doing this,"
711520,715920," but that it also could be the right move for the platform in general,"
715920,718640," like for the entire ecosystem."
718640,720400," So I tweeted about this hot take."
720400,733840," And I had some people who I feel like have maybe not the full picture of how this works."
733840,737600," Because to be clear, I understand being upset about it."
737600,744400," Obviously, I hate when you tell me I have something and you take it away."
744400,747520," I'm always reminded of that scene from Empire Strikes Back."
747520,750000," I'm altering the deal."
750000,751360," Pray I don't alter it any further."
751360,751680," Right?"
751680,754640," Like that's so iconic."
754640,759360," Because we're in this position where whether you're an individual end user,"
759360,764080," whether you are a creator, where Google holds all the power."
764080,771680," If they decided tomorrow that not only was did they not feel like serving 4K video to"
771680,775680," non-paying customers anymore, but they were going to remove it from the platform outright."
775680,784160," And oh, by the way, that semi-archive of content that you've uploaded over the last 12 years,"
784160,788560," we're just going to get rid of all the high quality copies of everything we're going to prune it all."
788560,794800," They could decide that tomorrow on a whim they could and we're utterly powerless."
794800,797440," And that's frustrating and that sucks."
797440,801520," Where was I going with this?"
801520,802240," I don't remember."
802240,810720," Right, so I made that argument that right, but it could actually be the best thing."
810720,812560," And you'll have to hear me out."
812560,813120," Really?"
813120,813920," Please hear me out."
815280,821600," But some of the responses that I got from people who were upset about it,"
821600,824880," I feel like we need to talk about those things."
824880,828560," So one person that I went back and forth with had said, well,"
828560,832480," what do you mean, bandwidth costs?"
832480,836080," They laid that coax cable 30 years ago."
836080,837680," Oh, that's not how that works."
837680,837920," Right?"
837920,841120," Okay, so explain how that works for the people."
841120,846400," Google doesn't own all of the cables that go around the entire internet,"
846400,848960," although also all that stuff takes maintenance and whatnot."
848960,855920," So like if Google wants to send you data, it's going to have to go over ISPs lines and stuff like"
855920,856240," that."
856240,858880," They have to pay for bandwidth at some point."
858880,866720," Google did spin up their own ISP in the States, which probably gives them some cool"
866720,867920," abilities to do different things."
867920,870240," They're on a certain scale that I don't fully understand."
870240,872560," Like once you have your own data centers and stuff,"
872560,876720," like an OVH has their own dark fiber lines running all of their plays and all this neat things."
876720,880080," Like that stuff is beyond my scale of understanding."
880080,885040," But bandwidth is highly expensive and you have to deal with a lot of other entities."
885040,886080," How are people?"
886080,890000," Talk about some of the other entities that we've had to deal with in order to maintain quality"
890000,891040," of service for users."
891040,896400," One of the problems that we have right now, I'm going to call out a country specifically"
896400,897680," that we're actually having problems with."
897680,899120," So sorry if you're having this problem."
899120,902480," But in Germany, there's multiple ISPs, right?"
902480,908560," And the pathways that we're using work great for some users in Germany."
908560,911520," And it works really poorly for other users in Germany."
911520,914000," We have really good service in Germany."
914000,914480," Right."
914480,916720," We also have not really good service in Germany."
916720,917840," Right."
917840,921040," It's not a cut and dry thing."
921040,924960," And when you get on this scale, like there's stories that I actually talked about on Wanchow"
924960,932880," in the past of Netflix back in the day, installing these red box Netflix servers in ISPs like"
932880,935520," data centers and in ISPs' nodes and stuff."
935520,939280," Because such a huge percentage of internet usage in these areas was all Netflix."
939280,941840," And they were actually helping the ISPs by doing this."
941840,943840," Like the ISPs wanted these things installed."
943840,946560," Because it was getting it closer to the users."
946560,949040," It was using less of the ISPs available bandwidth."
949040,950320," It was helping them in general."
951200,955680," Now you think about the usage of YouTube and all of the rest of Google stuff."
955680,957840," And it gets very complicated and very expensive."
957840,966160," And the impossibility of trying to cash any, any, I mean, you could take, you just"
966160,967520," scattershot it, right?"
967520,972880," You could just hope that you've got something cash close to the end user."
972880,978720," But like, that's a, just dice rolls, right?"
978720,979760," At that point, pretty much."
979760,982640," And like really advanced caching systems are great and stuff like that."
982640,987680," But like it's all highly complicated, highly difficult and very highly expensive."
987680,996720," And there was also like, like, I feel like this perception, right?"
996720,1007040," That once those lines though are laid, that the ongoing cost is negligible or very low."
1007040,1013760," And this individual pointed out that, well, you know, that those co-ex lines keep getting faster"
1013760,1015040," and there's no additional cost."
1015040,1023200," But it's actually the getting faster, even though you might be running over the same pieces of copper."
1023200,1025600," Or even the same pieces of fiber."
1025600,1031440," The way they get faster is through ongoing maintenance and network upgrades."
1031440,1033120," The R&D and everything else."
1033120,1038000," That continually get more and more and more and more expensive."
1038000,1044080," Because the bottom line is that Moore's law might not be dead, but Moore's."
1044080,1045920," It's getting a little bit more difficult to keep up with."
1045920,1048640," Dr. Moore is struggling a little bit, you know?"
1048640,1053520," Moore's law is not keeping up the way that it has."
1053520,1059360," And even if you were to compare to something like electrical or water infrastructure, for example,"
1059360,1061680," just because those pipes are in the ground."
1062400,1064800," That doesn't mean that they stop needing maintenance."
1064800,1070240," That doesn't mean you don't still have to make sure there's clean water going through them."
1070240,1070880," You know what I mean?"
1070880,1078640," Infrastructure that exists must be maintained and upgraded."
1078640,1080560," Yeah. Absolutely."
1080560,1081920," Yeah, there's tons of costs to it."
1081920,1085840," And something that you go over in the video as well, but like,"
1085840,1087680," I'm seeing comments about it."
1087680,1089600," I'm seeing notes about all this kind of stuff like,"
1089600,1092320," \"Oh, we shouldn't feel bad for billion-dollar companies."
