start,end,text
0,7000," We have got a great when show lined up for you guys."
7000,8000," Welcome everyone."
8000,10000," How do I know it's going to be great?"
10000,14000," Because it's the when show and it's great every time."
14000,16000," And Luke is going to help me."
16000,19000," He's going to help me make it great today."
19000,24720," Our main topics are we had a power outage last week and when we stitched together the clips"
24720,26120," of the when show."
26120,30120," Our main topic was cut by accident."
30120,34560," There are conspiracy theories that Microsoft found out we were going to talk about Windows"
34560,39120," Modern standby and cut the power and deleted the vaud."
39120,43960," Actually it was just a miscommunication with the clips that had to be salvaged from one"
43960,46200," place and another place and put back together."
46200,50560," Anyway the point is we're going to rehash that real quick styles for you guys."
50560,56560," We're also going to be talking about the big controversy this week."
56560,58440," Oh, Poppyzilla versus Logan Paul?"
58440,61200," There's been a number of big controversies this week."
61200,63560," This seems like the internet lately to be honest."
63560,67680," Lately you're like competing to see who can be that week's major news."
67680,68680," Not even that month."
68680,70000," Coffeezilla Alleges."
70000,72800," Logan Paul's crypto zoo is a scam."
72800,73800," Bomp, bomp, bomp."
73800,75960," And NFTs were a scam."
75960,80880," And Logan Paul is not the only creator that Coffeezilla has exposed recently."
80880,83440," My only question is, am I next?"
83440,85160," Coffeezilla."
85160,86520," What dirt you got on me?"
86520,87920," I'm genuinely curious."
87920,89440," We haven't sold NFTs."
89440,91160," What else you got helps a lot."
91160,93920," We also have a crypto coin."
93920,96640," That also helps a lot."
96640,97840," Let's see."
97840,99760," I don't know."
99760,101360," I kind of want to talk about this."
101360,105920," Filmora pulling lifetime licenses."
105920,108920," Not a good look."
108920,110680," Not a good look at all."
110680,112040," Also graphics card leaks."
112040,113040," Those are fun."
113040,114040," People like those, right?"
114040,117400," 4070 Ti, maybe leaked?"
117400,119480," Somebody will find it interesting."
119480,120480," Not him."
120480,126960," I mean, don't you think 110 degrees on the 7900 XTX being in spec is interesting?"
126960,130080," Yeah, I'm also not surprised though."
130080,132040," Yeah, that's fair."
132040,133040," Yeah."
133040,134040," All right."
134040,154320," Thank you."
154320,161400," The show is brought to you today by SeaSonic, Manscaped, and Squarespace so you can power"
161400,165080," up your grooming tools and make a website about it."
165080,167720," Yeah, maybe don't make that website."
167720,168720," All right."
168720,171920," Why don't we jump right into our first topic for the day?"
171920,172920," Is it Windows?"
172920,173920," Is it Modern Standby?"
173920,174920," It's Modern Standby."
174920,175920," We're doing it again."
