start,end,text
0,2600," And welcome to the WAN show still Friday, right?"
2600,3200," Yeah."
3200,4680," Yeah, a little on the side."
4680,6560," Yeah, not for long, but I blame Luke."
6560,8680," We've got a lot of great topics for you today."
8680,11760," First and foremost being what is up with the title and headline."
11760,14000," It's because I lose."
14000,16880," Today's show is going to be pretty AI heavy."
16880,21680," So Luke is going to get to talk about AI agents gaining steam."
21680,23760," That is pretty vague."
23760,31800," And also Elon Musk pivoting Twitter to an AI everything app, whatever that means."
31800,33280," What else are we talking about today?"
33280,36800," So I'm going to announce the non AI topics and you're going to announce the AI topics."
36800,37800," I think that would be fun."
37800,44200," Microsoft could be working on a Windows handheld mode for Steam Deck alike."
44200,44960," I'm excited."
44960,45640," Are similar to that."
45640,47480," That is actually pretty interesting."
47480,50320," We'll talk more about that later though."
50320,55120," Also, do we talk about this one?"
55120,56720," Is this going to be the Elon show?"
56720,58760," No."
58760,62040," Pick anything else."
62040,64880," The 4070 release."
64880,65640," I don't know."
65640,66080," All right."
66080,66840," Which one did you pick?"
66840,91720," The show is brought to you today by JumpCloud, Goliath Technologies and SeaSonic."
91720,93720," All right."
93720,100320," Why don't we jump right into our headline topic here today, which is AI agents gaining"
100320,101320," steam."
101320,102320," Yeah."
102320,103840," Why don't I read it?"
103840,107640," And then you can spend the next 25 minutes talking about what I read."
107640,108640," Sure."
108640,111800," There's been a surge in development of AI agents."
111800,113400," Interjection."
113400,118320," These are applications that allow large language models to operate semi-autonomously by feeding"
118320,124480," prompts to themselves until they have achieved a broad general goal given to them by the"
124480,125480," user."
125480,126480," Sort of great."
126480,133080," Currently trending on GitHub is auto-GPT, which uses GPT4 to generate, prioritize, and"
133080,137840," execute tasks using plugins for internet browsing and other access."
137840,142960," It uses outside memory to keep track of what it's doing and provide context, which lets"
142960,149080," it evaluate its current situation, generate new tasks, or self-correct and add new tasks"
149080,152120," to the queue, which it then prioritizes."
152120,157200," Auto-GPT currently has a notable tendency to become distracted or confused when given"
157200,163160," complex goals, often getting caught in recursive loops and leaving tasks half finished."
