start,end,text
0,6640," What is up ladies and gentle persons? It's time for the Wanshow again. That's right. I am a short king"
6640,9380," Yeah, I still don't get it. As crowned by Smosh"
9380,15300," What? I know I actually am hearing about this for the first time now as well"
15300,20420," Okay here in the Wanshow document all right I figured hey, it's a good title for the video"
20420,26280," So let's lean into it and hopefully a short king is not something really insulting. I don't think it is"
26560,33840," In other news this week Microsoft and Google have laid off thousands of workers again"
33840,40860," Which is kind of terrifying like 5% of Microsoft's workforce or something big deal thing deal"
40860,44580," AI art generators face first two major"
44580,52680," Copyright lawsuits and from a party that you might not be too surprised to be involved also us farmers win right to repair"
52840,58280," Farm equipment while Samsung undermines independent screen repair at the same time"
58280,65900," Oh, and there's one more thing before I roll the intro we have actually got a not just producer like Dan the producer"
65900,73920," For the Wanshow but we've got someone whose entire full-time job is to make the Wanshow better and this maybe yeah"
73920,77520," I know right I was gonna say this may be the first year hearing of it. Yeah"
78240,81320," But she just started and so she's still on her probation"
81320,85760," So I guess I should not have disclosed anything about this individual"
85760,89560," Because you never know how things will go but at any rate"
89560,97360," It means we are going to have things like fun new segments meet the wheel of pain"
97360,99280," okay, so"
99280,102240," Yeah, I can't read it. Don't worry too much about it for now"
102240,104160," We will deal with the wheel of pain later for now"
104160,110320," So at this point in time I literally know less about that than any of you do because I couldn't read that"
110320,115160," No, any what it is. I've been told I'm not allowed to read a certain part of the doc"
115160,119360," All I know is there's a wheel and it's of pain. It's of pain. Yeah. No, no"
119360,125520," Okay, try again the wheel of pain. No, no, no the wheel of pain much better. Got it"
125520,127520," All right"
127520,154580," Oh, oh wow that was weird the show has brought to you today by Vessie audible and one that kind of glitched out a little bit there"
155120,159200," For him. Oh, yeah, that's gonna be an interesting one to talk about and show you"
159200,167240," Why don't we jump right into our first topic of the week? I know this is not exactly a tech topic, but it peaked my curiosity"
167240,176160," Smosh the once popular. Oh, that's editorializing a little bit. Oh, that's not what it said once the most popular channel on YouTube"
176160,183720," Okay, yeah, um made a video called they're doing really well short Kings rank short Kings on their sister channel"
183800,185800," Smosh pit"
185800,191720," Spencer one of the ranchers called Linus the gold standard for tech youtubers. Oh, okay"
191720,192760," So here hold on a second"
192760,198440," So I'm I'm gonna bring this up am I able to screen share with the with the stream is that is that a thing that it works now?"
198440,205720," Okay, let's go here. We go. I think it's clean. This is Spencer Agnew, right? I think I believe okay here. We go. I"
205720,211160," Was gonna take there for a long time where I was watching a bunch of smosh. Here we go. Hey Linus tech tips. Yeah"
211880,213240," Here we go"
213240,216160," Five six. Yes, that is true. It's it"
216160,222760," Yes, yes, that is true. Come on. I'm not gonna lie about it. Are you do you get asked here?"
222760,230880," Does it give you an S tier? I think he's great. He's funny. Oh, that's not he's niche. That's true. That's true. That's true. You're niche"
230880,236880," Okay, they'd be like what the stop. Let's let's put him in let's put him in"
236880,238320," Let's throw him a B"
238320,242360," I don't know if B makes you a king. Well, hold on a second. Hold on a second. Wait a second"
242360,246240," Wait a second was that Tom Holland next to me on in on B shell?"
246240,251640," Okay, because I don't even feel bad at that point. Hold on. Who else are looking at here?"
251640,254640," Hold on. That's markiplier"
254640,260840," That's Tom Holland. All right. All right. Okay. You're doing pretty good. All right, so that's a strong B"
260840,262600," That's a strong B. That's a strong B"
262880,271200," What the hell makes you an a on this list? It's it's gonna be pretty intense. I think what what's in what's an a?"
271200,277880," Who's an a tier king? Hold on a second here. Okay, let's just wait till they zoom in on the thing jump in the end"
