start,end,text
0,3480," How y'all doing everybody?"
3480,5800," Happy Friday and welcome to the WAN Show."
5800,8800," We've got a fantastic show lined up for you guys today."
8800,10360," See, I told you guys I was gonna do it."
10360,11200," - Yep."
11200,14280," - Lots of great topics, more trouble for Intel Arc"
14280,18040," as board partners reportedly bail on the project."
18040,20800," That's a little awkward."
20800,23800," In other news, (laughs)"
23800,27080," Amazon apparently wants to buy iRobot"
27080,31720," for 1.7 billion, not the movie."
31720,34560," We're talking about like robot vacuum cleaners."
34560,35640," - They needed some inspiration."
35640,36480," - Yeah, I mean-- - I didn't want"
36480,37320," to buy the movie."
37320,39280," - I actually have a lot to say about"
39280,40520," Amazon buying iRobot."
40520,42200," What else we got?"
42200,45400," - We have NCX Tales from Behind the Counter,"
45400,47280," which I'm gonna throw one in for,"
47280,49240," which is not from when I worked at NCX,"
49240,51800," but I'm gonna throw a Behind the Counter tale"
51800,53600," into the pile."
53600,54600," - Oh, okay."
54600,55440," - But you-- - But you--"
55440,56940," - That you don't know. - That you don't know."
56940,57780," - Yeah."
57780,58960," - That Linus doesn't know."
58960,59800," - I think."
59800,60640," - Okay. - I might have told you"
60640,62900," at some point, we've had a lot of conversations."
62900,66120," Also, other stuff."
66120,68280," I'm gonna throw this--"
68280,69180," - You're up as mad at me."
69180,70020," - Yeah."
70020,72480," We'll talk about why."
72480,73320," - Yeah."
73320,74320," - What's up, Europe?"
74320,75160," How you doin'?"
75160,76740," (upbeat music)"
76740,77580," (laughs)"
77580,80480," (upbeat music)"
80480,81640," - It's gonna be a good show."
81640,84220," (upbeat music)"
84220,86800," (upbeat music)"
86800,99060," - The video's brought to you, the show's brought to you"
99060,100520," by Short Form."
100520,101880," I think that was Squarespace."
101880,104700," It went by pretty quick and MSI."
104700,105700," (laughs)"
105700,106780," All right, why don't we jump right"
106780,108340," and do our first topic for the day?"
108340,111180," More trouble for Intel Arc."
111180,114120," It feels like just a few short weeks ago"
114120,116380," that we had representatives from Intel here on the show"
116380,119120," telling us that things are going swimmingly for Arc"
119120,122220," and we should be expecting a launch imminently."
122220,124020," Wait, that is exactly what happened."
124020,124860," - Yeah."
124860,126860," - That exact thing I just said."
126860,127960," - It's literally a future--"
127960,129460," - That wasn't a fever dream, right?"
129460,130300," - Nope."
130300,131140," - Like that was a thing."
131140,132100," Okay, cool."
132100,134900," Well, according to Igor's lab,"
134900,138480," as if all the other rumors of Intel's GPU misadventures"
138480,140820," haven't been bad enough for Team Blue,"
140820,143840," it now seems, according to rumors allegedly,"
143840,147540," that third parties are abandoning Arc."
147540,151620," Igor says there are lots of unsold"
151620,156020," but already produced graphics cards sitting in inventory."
156020,159980," Likely, thanks to the fall of cryptocurrency values"
159980,162500," and the scramble to keep production high"
162500,164460," to meet that prior demand."
164460,168900," Whew, that is a bad time."
168900,170740," Yeah, Anthony writes,"
170740,173700," \"Which as Linus should know, is a pretty bad time"
173700,176000," when it comes to tying up your capital."
176000,179880," As a result, Intel has been focusing first on OEM partners"
179880,182740," but they face a chicken and egg scenario."
182740,184880," In order for system integrators and OEM customers"
184880,187520," to place orders, there must first be a demand"
187520,189560," for the products to begin with."
189560,192600," But since Arc is an unknown quantity,"
192600,195160," I mean, all we've seen is the small demos"
195160,197600," that Intel has done since it's unproven."
197600,198440," - Which we could do too."
198440,201400," - There is apparently little to no interest"
201400,204260," from prominent European distributors and dealers."
204260,207340," And this was the case long before"
207340,211220," A380 benchmarks reared their ugly head."
211220,212580," There's another angle."
212580,214500," - There was still a weird way to launch it"
214500,218100," considering it's basically always been halo product"
218100,219580," and then dropping down from there."
219580,221340," And they did like the opposite, which I think--"
221340,223980," - AMD pulled it the other way once when they launched."
223980,226420," I think it was Polaris, I wanna say."
226420,227340," - Okay."
227340,229980," - Mind you, I don't think they had a high end product"
229980,232180," for that generation at all."
232180,234240," So maybe they were just pitching it as,"
234240,237000," no, no, they launched, 'cause they did 474,"
237000,238600," no, they launched the whole stack."
238600,239980," They just didn't have a high end product."
239980,240820," I remember now."
240820,241940," Nope, nope, never mind."
241940,242900," Yep, you're right."
242900,243740," - Yeah, it's weird."
243740,246300," So I think that said people off on a weird foot as well."
246300,248900," - You generally try to put your best foot forward"
248900,251520," when it comes to launching a generation of products."
251520,253180," Now, there's another angle here."
253180,257180," Intel allegedly didn't want to give price guarantees"
257180,260500," and the conditions around RMA returns"
260500,262140," were worse than their competitors,"
262140,265020," which is a tough pill to swallow for system integrators"
265020,267620," whose margins, at least on desktop computers,"
267620,269060," are off and low."
269060,270460," You know what I wanna know?"
270460,274420," I wanna know where these RMA conditions"
274420,276460," for returns are coming from,"
276460,279660," because back at NCIX, we couldn't return jack-of-it."
279660,281700," When we bought something, it was ours."
281700,283580," (laughing)"
283580,285300," How did we get hosts so hard?"
285300,286700," Is it 'cause we were Canadian?"
287700,289540," That sucks."
289540,290380," - They're pretty good jokes."
