start,end,text
0,4160," What's up folks welcome to the WAN show we've got a fantastic show lined up for you guys today"
4160,8840," I don't know about you, but I'm like a bundle of money. I am amped. I'm amped"
8840,15280," I'm going to the first land party in well that many years actually for me at this point"
15280,20140," Yeah, I it was right before COVID the past before COVID would have been my last one"
20140,26720," 150 people 150 people are over there waiting for us to show up play some VIGI games and"
27360,33320," Shortly before the show started I got the play button PC working again. It was overheating and it turns out"
33320,38840," There was an issue where the heat pipes cross each other like this in order to bring the heat away from the CPU"
38840,43440," Then out into the heat sink and the thermal pads that were in there weren't compressed enough"
43440,48120," Okay, so there was a thermal bottle neck, but we're good. We're good ladies and gentlemen"
48120,50680," And we've got a great show lined up for you today"
50680,55520," We're gonna be talking about the rumors that Intel's Ark desktop GPUs"
55560,60480," You know the ones where we had real live people from Intel sitting in chairs next to us talking about them"
60480,63260," Yeah, there are rumors now that that is canceled"
63260,68060," Cancelled you can't you can't cancel our GPUs. Oh"
68060,75620," Maybe you can there's been some stuff going on over it. I was waiting for you to see that. Oh my"
75620,83520," God this art this the write-up for this is literally three pages long. Okay, well, we'll talk about that in a little bit in other news"
84000,90280," Also Intel Optane is dead if you want obtain SSDs get them now"
90280,97120," Because they're not making any more of them. My goodness. What else we got other than all the Intel things"
97120,102320," You know, I guess we're we talked to overkill computers. We did"
102320,109320," And that's interesting boiler writer Pluf who chatted with them kind of on their side now"
109320,113260," Interesting yeah the how the turntables have turned"
113600,117440," Okay, that's gonna that that seems hard to accomplish"
117440,123720," So we'll we'll see what happened because that is interesting other than that. There's literally one topic"
123720,126880," It's AMD confirms for Ryzen 7000 CPUs"
126880,129400," Maybe by accident whoops"
129400,134800," It didn't work is my stream that's not working"
134800,136800," Try it"
136800,156060," The show is brought to you by AMD"
156060,164680," Secret lab and ubiquity. Oh, you bickwitties a Wancho sponsor. How fun is that? All right"
164920,170160," Why don't we jump good gravy right into this is a monster topic"
170160,176280," Yesterday, I don't know if it's still yesterday, but anyway Moore's law is dead"
176280,182040," released a video claiming that Intel's Ark may be canceled before battle mage"
182040,186920," So that's the second generation architecture after alchemist"
186920,194520," Cancelled before battle mage even comes out this apparently has not yet been decided"
194600,203880," But is being discussed internally because the whole project has apparently been a poo show and there are serious hardware level problems with alchemist"
203880,208080," Allegedly, so that's the the first generation architecture. This is"
208080,220760," That's the that's the streaming PC making that noise our streaming PC was all like there's a heat wave"
221840,225440," There's a heat wave and I do not like it fired my laser"
225440,229840," All right according to the rumor"
229840,238120," This is potentially tied to Igor's labs findings that have shown that the performance in games even tier one games"
238120,241600," So those are the ones that perform best on ark"
241600,248440," does not scale well with resolution and can have brutal API overhead"
248760,252400," This points to a potential hardware flaw in the scheduler"
252400,257640," Which would also help explain why the performance can be so bad without resizable bar enabled"
257640,264920," In his testing at low resolutions like 720p the a 380 struggled to get above 100 FPS"
264920,271360," Even though it was close to that mark at 1080p, which is a lot more resolution"
271360,276800," Can the viewers actually even hear that it doesn't seem to be bothering them"
277480,281040," Is that is that a is that a fan? I think so"
281040,286160," I think it's got to be a fan sounds like a fan or a pump or something"
286160,288240," All right, well at any rate"
288240,294760," Moore's law is dead has been saying for a while that Intel manufactured their cards in Q1 and that those dies"
294760,298600," Have been just sitting in a warehouse waiting to be packaged"
298600,303600," When they made these chips they assumed that the driver problems could be solved in the next couple of months"
303600,309720," Then in mayor June realized the problems were there to stay so then this is all allegedly they asked the a 780"
309720,315880," Which was supposed to be allegedly the top tier card which Intel says never existed and will only be launching the lower end cards"
315880,323360," Apparently there were inconsistencies between what we were shown when Intel was here the other week and what is being shared internally"
323360,325880," so there's a"
325880,328440," thing here"
329360,334220," With some SKUs okay above is apparently a schedule handed out within Intel"
334220,338240," I guess I might as well just screen share with you guys here is my screen"
338240,342160," Here you go some SKUs with some launch sketch"
342160,349000," So here's a 360 at week 25, which is mid June and then supposedly early July"
349000,354960," We should be seeing a 770 a 750 and then later on the the middle middle tier"
354960,357520," so entry level high end and"
358040,360040," mid end"
360040,362160," The cards were supposed to start launching"
362160,369400," At this point aib's so aib's would be the ad-in board partners who actually manufacture the finished cards Intel"
369400,375560," Just makes the chips themselves at this point aib's are still in the dark as to what's going on"
375560,377980," Here are some quotes also from Moore's law is dead"
377980,385480," Source one to this day. We don't know what's going on source to why do you keep asking if arc is launching this month"
385560,389000," We have no evidence that it's in this quarter source three"
389000,394080," We're going to sit this gen out as much as we can without entirely burning bridges"
394080,398120," It's just taking too long and we resent being strung along like this"
398120,408000," This apparently is backed up by leaked internal Intel documents where the general general availability date is still to be"
408000,409360," determined"
409360,410840," Even a couple weeks ago"
410840,415200," internally Intel was saying cards would be delivered to SI's in July, but July is"
416040,422360," Going to be over on Sunday. I don't think they're going to be doing a lot of deliveries on Saturday and Sunday"
422360,427560," Yeah, probably not and you still cannot get an arc in a system integrator system"
427560,435320," A more recent Intel slide says arc story not arc launch in September"
435320,440680," All of which means that as of a month ago Intel was saying they would be launching all SKUs to OEMs in July and"
441080,445760," Add-in board partners would be launching in August, but it is now August essentially and that in board partners"
445760,449520," Still don't have the final bomb and design for any of them let alone the entire lineup"
449520,452880," It should be noted that when Intel came here, so I'm off"
452880,458840," I'm off the the script now when Intel came here. They showed us an Intel first party board"
458840,461440," not a third party board"
461440,467080," Whereas the a380 the one that's actually already launched. Well, that was with third party board partners"
468200,471360," Anyway, apparently all of this has quote annoyed"
471360,476800," Executives at Intel because they don't know what an arc story is and are tired of the chaos"
476800,481520," This annoyance can be felt in this quote from Intel's latest earnings call"
481520,484440," So this is from Pat Gelsinger Intel CEO"
484440,487400," This quarters results were below the standards"
487400,489720," We have set for the company and our shareholders"
489720,495240," We must and will do better the sudden and rapid decline in economic activity was the largest driver"
495320,498880," But the shortfall also reflects our own execution issues"
498880,507520," We are being responsive to changing business conditions working closely with our customers while remaining laser focused on our strategy and long-term opportunities"
507520,514320," Boy, is that ever a lot of words without saying anything sure is we are embracing this challenging environment to accelerate our transformation"
514320,517080," That sounds like CEO talk to me. Yeah"
517080,524360," That didn't even really sound like annoyed with arc specifically, but I you know arc is certainly something that hasn't gone perfectly this quarter"
524360,526120," Yeah"
526120,534960," Here are some leaked internal discussions allegedly there are high level discussions going on regarding the cancellation of dedicated desktop arc cards"
534960,540520," Data center stays for now, but the dedicated gaming card may be canceled before celestial even gets a chance"
540520,543480," Another source apparently said to Moore's laws dead"
543480,548640," I cannot confirm the cancellation of discrete gaming arc, but I also can't say it isn't being considered"
548640,554280," It could be what I can confirm is no good news is coming out of the graphics division at the mid-level"
554280,559960," And if they do cancel battle-mage marketing will still hype up arc until that decision is actually made"
559960,565160," Now this rumor I've also seen"
565160,572760," There could be plans to have an alchemist refresh in 2023 instead of launching battle-mage because that is allegedly also having issues"
572760,577280," Which could suggest there are silicon level issues with alchemist that can't be sorted out with drivers"
577280,580560," That would be if you're gonna refresh a sort of mediocre performer"
580720,584920," You'd think it was to like fix something. You know what I mean? Yeah, yeah"
584920,587600," This sucks"
587600,593680," Because I want this to do well because more competition the GPU space would be good"
593680,602560," But this sucks for two reasons one more competition in the GPU space would be good if it's not competitive"
602560,609800," It doesn't really solve that problem and also if it isn't allowed to stay on the market it by default doesn't solve that problem"
609800,611040," so"
611040,616320," Hopefully they can figure it out now obviously Intel isn't just taking this"
616320,624840," These whether you want to call them leaks or whether you want to call them rumors or allegations or whatever whatever it is"
624840,631040," They're not just ignoring this believe it or not. I would have kind of expected Intel to just say"
631040,637160," Sorry, no comment, you know until we announce something it's it's not happening"
637160,641880," But Raja Kaduri has already responded to tech journalist, and she'll sag"
641880,645720," Saying thanks, and she'll we are very much committed to our roadmap"
645720,650440," We are ramping alchemist and will continue to improve the experience you will see more updates from us this quarter"
650440,655240," A XG is also on track to ramp four new product lines by the end of the year"
655240,666640," Wow"
667640,675280," Now some of these things do kind of jive with my vibe if I could kind of put it that way"
675280,681440," So the overall opinion from Tom at Moore's law is dead is this Intel manufactured the dies in Q1 with plans to sell this summer"
681440,685440," Then things went quiet until the recent media blitz that we were part of"
685440,691520," And probably was brought on by our brutal a 370 m review"
692040,696800," Apparently this media blitz took people internally at Intel off guard because in there"
696800,700520," It's still a poo show and they have no clue when things will actually be launching"
700520,708600," Tom and this is Tom from Moore's law is dead read is that sometime in Q2 they discover there's a fundamental hardware flaw that can't be"
708600,712640," Fixed with drivers and will require adjustments to silicon the problem is your shareholders, right?"
712640,720440," They need to get what they've made out now and launch it as low-end cards in order to recoup at least some of the cost"
720440,726600," All of this has prompted the top brass it until to seriously consider if this is worth all the work given the problems with alchemist and"
726600,728200," apparently"
728200,730200," battle mage"
730200,733680," Sedge I"
733680,736520," Don't know man like I"
736520,744120," Have a hard time believing that Intel would allow this to be another project"
744880,752920," Laraby especially when you go back and look at Laraby was Laraby really a failure obviously as a desktop GPU"
752920,756460," Absolutely, it never it never even made it across the line, but it would become"
756460,763600," Knights landing Knights corner. It would become Xeon Phi which was a viable product line for Intel for years to come"
763600,766760," Yeah, and given that even the rumors"
