start,end,text
0,4400," What is up?"
4400,5400," How are y'all doing?"
5400,8520," It's Friday and welcome to the WAN Show."
8520,11480," We've got a great show lined up for you guys today."
11480,17560," We're going to be talking about the cease and desist that Lenovo issued to framework,"
17560,22560," the laptop company that I invested in over their power button."
22560,28960," We will also be talking about the potential upcoming branding for LTT Labs, spoiler alert."
28960,32680," It is not going to be LTT Labs."
32680,34840," Otherwise, I just spoiled it."
34840,37280," So, alert, I have not spoiled it."
37280,38280," Yeah."
38280,39280," Yeah, that's good."
39280,44560," John Deere Tractor used to run Doom because we are slowly reducing the amount of things"
44560,46080," in the world that can't run Doom."
46080,48920," No, it's a bigger story than that, Luke, but we'll talk about the leader."
48920,51480," No, it is actually very cool."
51480,53120," Also, trust me, bro."
53120,54120," Oh, no."
54120,55920," You're really making that a headline topic."
55920,58960," I was going to try and slip it in somewhere with people."
58960,61160," The screwdriver pop up."
61160,64760," Okay, sure."
64760,67040," Sweaters!"
67040,68960," The metaverse is awful."
68960,69960," Show harder, Luke."
69960,84680," Show harder."
84680,90560," The show is brought to you today by Squarespace, Exploit and Secret Lab."
90560,92680," And no, it's not Secret Lab."
92680,93920," They make chairs."
93920,95560," Our lab will be a different lab."
95560,97560," Let's jump right into our first topic."
97560,100360," I admit, I debated you guys a little bit."
100360,102920," I actually agree with Lenovo."
102920,104920," This was a thing that-"
104920,105920," Did we get you so you didn't?"
105920,106920," Had to happen."
106920,107920," Oh, okay."
107920,108920," I guess I didn't."
108920,113160," But the implication might be that I'm like mad about it, but there's nothing to really"
113160,114520," be mad about."
114520,115640," It looks pretty innocent."
115640,117880," It doesn't look like it was something they planned to do."
117880,122520," It looks like a very reasonable design if you're making a plastic thing that needs to"
122520,125240," continue working and also needs to be moved."
125240,126240," Yep."
126240,132200," Obviously, it's not their logo because you can't 3D print their logo without the centerpiece"
132200,133400," falling through."
133400,134400," Yeah."
134400,140200," But the reason that Lenovo came after them, framework tweeted about it, is that the resemblance"
140200,149040," of frameworks power button on their first party 3D printed case to the Lenovo O Legion"
149040,152800," design is unmistakable."
152800,157120," That's what we call in the biz and oops, my bad."
157120,158120," Yeah."
158120,159360," And they're already working on it."
159360,165200," They asked for community contests, which is a cool idea where people can submit designs"
165200,172480," and whoever can come up with the best design is going to get a free I51135G7 mainboard,"
172480,173720," which is cool."
173720,181200," It was noted by a former member mid core that Lenovo's gaming, the O Legion gaming logo"
181200,183400," used to actually look like this."
183400,185600," But that's the one I kind of remember."
185600,188760," It bore a lot of resemblance to the Mercedes Benz logo."
188760,194720," So as it turns out, there's just not a whole lot more ways that you can."
194720,198600," Put some things through or on a circle."
198600,200400," Actually, oh, I'm wearing it right now."
200400,206280," I happen to be wearing our case shirt design that has been pointed out to me looks an awful"
206280,208160," lot like the Renault logo."
208160,209160," Oh, yeah."
209160,210160," Renault cars."
210160,211160," You know what?"
211160,212160," Yeah."
212160,213160," Not intentional."
213160,214760," No association whatsoever."
214760,217560," It just happens to be a what is it?"
217560,221280," Isometric view of a box."
221280,223280," It's a computer case."
223280,227160," It wasn't the intention, but that's what happens."
227160,232280," And given the fact that Lenovo and framework do exist within the same space, they both make"
232280,233280," laptops."
233280,239960," Say, for example, I can understand why Lenovo, whether they wanted to or not, had to point"
239960,244120," out that their trademark was kind of being infringed and you guys really need to make"
244120,247120," a slightly different looking power button."
247120,253240," So as much as I don't think anyone wanted this to happen, I actually agree."
253240,258240," With Lenovo's cease and desist, clearly framework isn't too salty about it either."
258240,259560," So they are figuring this out."
259560,264720," Now our discussion topic here from Adam from our writing team is why do companies waste"
264720,267120," time and money on things like this?"
267120,268840," And they really sort of have to."
268840,271400," The reason is that they actually have to."
271400,276040," If they want to keep their trademark, then they have to uphold their trademark and they"
276040,281320," have to go after anyone who is illegitimately using their trademark."
281320,286760," And this isn't one of those things where Lenovo tried to trademark an actual circle or putting"
286760,289000," the letter \"I\" in a word."
289000,295960," This is very clearly a logo design and very clearly looked pretty much identical to the"
295960,298040," one that framework was using on the power button."
298040,299120," I do agree with all that."
299120,305600," It is a little annoying because, like I said earlier, that design is very logical for making"
305600,308920," a piece of plastic that would depress down into a button."
308920,309920," Yes."
309920,312400," It was a logo on the product."
312400,313400," Yeah."
313400,315880," It was a functional piece."
315880,321880," So that part is pretty annoying to me, but I do agree with the things that Linus said."
321880,324760," You can use it in court cases."
324760,328360," You can say like, \"Oh, well, they haven't defended this before.\""
328360,332200," So there was precedent set that they wouldn't defend this in the future."
332200,334520," And people have one case based off that."
334520,337400," So you actually do need to defend these things."
337400,343120," Just again, I could see this being annoying for 3D printers that are trying to commercialize"
343120,344120," certain products."
344120,345120," Oh, for sure."
345120,349440," But then again, if you're not trying to make an enclosure for a laptop motherboard, then"
349440,353200," they probably don't have to defend it because you might--"
353200,354680," It's enough removed."
354680,355680," I believe that's how it works."
355680,360040," We're getting into things that we don't necessarily dabble with too much."
360040,364720," Yeah, I'm not an expert, but I do know enough to know that they do actually need to go after"
364720,365720," this."
365720,366720," Yeah."
366720,367720," So, news."
367720,370360," Apple has restricted their ad tracking--"
370360,371360," Yeah."
371360,372360," Sorry."
372360,373920," Apple restricted ad tracking?"
373920,375560," Yes, but not necessarily their own."
375560,376560," Yeah, not their own."
376560,377560," That's the whole point."
377560,378560," Yeah, yeah, yeah, yeah, yeah."
378560,379560," That's the whole point."
379560,380560," You know what, fine."
380560,381560," Why don't you do it then?"
381560,385480," In Lillelle, Mark German, hopefully I said that, right, predicts that Apple is going"
385480,388440," to significantly expand its own advertising business."
388440,392480," And I was told by Riley that if this guy says something like that, it's like going to"
392480,393480," be a thing."
393480,397120," Apparently, this is technically a rumor, but also not really."
397120,399040," This is hilarious."
399040,405160," This is much more notable because of other recent actions that they have partakened."
405160,410480," They implemented app tracking transparency that requires developers to implement a pop-up"
410480,415200," asking users if they can track them outside of the app."
415200,418160," But it doesn't do that for their own apps."
418160,419160," That's hilarious."
419160,423840," Those are first-party apps with first-party tracking that apparently does not need the"
423840,424840," pop-up."
424840,425840," I am not an Apple user."
425840,431680," It is unclear to me if when you are first setting up an iPhone, does it ask you if it"
431680,433920," is okay to track or not?"
433920,436680," Because that to me completely changes this situation."
436680,439760," Okay, well, why don't you keep talking about it while I go get an iPhone and wipe it?"
439760,440760," Okay, cool."
440760,441760," Yeah."
441760,445560," Because to me, basically, just like on Windows, right, when you're first setting up Windows,"
445560,450880," it asks you a bunch of different things about how, like, \"Oh, can we take diagnostic data"
