start,end,text
0,3000," Welcome to the WAN show."
3000,5000," We have got a great show for you guys this week."
5000,6500," Breaking news."
6500,7500," Breaking news."
7500,8500," Like what is this?"
8500,9500," Like two hours ago?"
9500,11500," Three hours ago or something like that?"
11500,12500," Yeah."
12500,13500," Yeah."
13500,14500," S.V.B."
14500,17500," The Silicon Valley bank goes under."
17500,18500," What?"
18500,19500," What bank?"
19500,22000," Just gone in Silicon Valley?"
22000,24000," This is wild."
24000,28000," Less wild is that YouTube has apparently relaxed."
28000,31500," There's stupid f*cking profanity policy."
31500,33000," I'm still bleeping it anyway."
33000,34000," A hundred percent."
34000,35000," Some people complained about that WAN show."
35000,37000," What else we got going on today?"
37000,43000," Ring gives police invasive user footage including sometimes of inside their house."
43000,44000," Cool!"
44000,45000," Even without a warrant."
45000,47000," Just if they feel like they want it."
47000,48000," Good job Ring."
48000,49000," Yeah."
49000,50000," What else?"
50000,53000," Really Luke?"
53000,57000," Just because I get to go first and pick all the best topics means that you sit here and have to take the good."
57000,59000," I don't see anything else I want to talk about."
59000,60000," Think about it for this."
60000,61000," Sounds good."
61000,63000," Trust me there will be stuff."
63000,64000," Seriously?"
64000,66000," What would you pick?"
66000,70000," There's something in here that was in here last week but we've also talked about it like three times so I don't know."
70000,72000," Alright intro!"
72000,92000," [Music]"
92000,94000," The show is brought to you by FreshBooks."
94000,96000," Goliath Technologies."
96000,98000," I heard they're online."
98000,101000," Square Space."
101000,102000," Really?"
102000,103000," Okay Tarkov."
103000,104000," Why not that for the fourth topic?"
104000,106000," Luke's got some Tarkov updates."
106000,107000," It's spicy."
107000,112000," First we need to get into the big news this week."
112000,113000," Sources for this."
113000,115000," I don't know everywhere."
115000,116000," CTV."
116000,117000," The BBC."
117000,118000," Blockworks."
118000,119000," Doesn't matter."
119000,126000," The point is earlier today the 16th largest bank in America which if you were a Canadian doesn't sound like that."
126000,128000," That would be not that big."
128000,132000," Big of a deal because here in Canada we only have like four banks."
132000,135000," We're also smaller than California in regards to population."
135000,138000," Yeah so it wouldn't be a huge deal here."
138000,141000," In America 16th largest bank."
141000,142000," What?"
142000,155000," Okay so they suffered a good old fashioned 1930s style bank run and the tense of its Wikipedia page went from is to was."
155000,161000," There was some indication earlier this week that the bank might not have sufficient liquid assets."
161000,164000," The stock price of its parent company dropped suddenly."
164000,174000," Venture capitalists advised their clients to withdraw funds and those clients rushed to get out what they could until regulators stepped in."
174000,179000," This is the largest American bank collapse since the 2008 financial crisis."
179000,182000," Now here's the thing."
182000,193000," Under normal circumstances we wouldn't really be reporting on a bank failure in the US because it's kind of a big deal but it's not really tech."
193000,199000," Except that SVB stands for Silicon Valley Bank."
199000,202000," So let's talk about that."
202000,210000," The liquidity issues that they suffered were heavily exacerbated by inflation, interest hikes and the overall weakness of here it comes."
210000,223000," The tech markets as SVB specialized in lending to tech startups and most depositors were tech workers and VC backed companies."
223000,229000," Much of the bank's deposits and this is wild were uninsured."
229000,239000," Now this is not in our notes so you guys will have to forgive me if I've got the exact details wrong but my understanding is that deposits were insured up to a maximum of $250,000."
239000,241000," I believe so."
241000,250000," Now this is something that is, you know, from a, I would say from an individual standpoint, very much a first world problem."
250000,262000," But most banks that I'm aware of do in fact have a limit to how much your balance can be before it just goes beyond what their insurance will cover."
262000,272000," And in the event of a bank run or insolvency or other kind of, hey, poof, the money's gone event, it is simply not covered."
272000,274000," It is irrecoverable."
274000,287000," So there's, so the Federal Deposit Insurance Corporation or FDIC.gov says that standard deposit insurance amount is $250,000 per depositor per insured bank for each account ownership category."
287000,290000," So $250,000 is insured by government."
290000,294000," So, but companies on company scale, 250k."
294000,296000," I was getting to that."
296000,300000," From an individual standpoint, right?"
300000,302000," Oh, I'm sorry."
302000,308000," Your $251,000 is not fully covered in your bank account."
308000,310000," Boo hoo hoo, cry me a river."
310000,313000," So 250k, you're a person, whatever, that's tons of money."
313000,315000," That's a lot of money to have in the bank."
315000,321000," But let me tell you something from a business standpoint, look around you, okay?"
321000,322000," Right?"
322000,323000," Do the math."
323000,324000," How many people work here?"
324000,326000," I think we're over a hundred now."
326000,327000," Close to it."
327000,330000," Does anyone know what like minimum wage is here?"
330000,333000," And we don't pay minimum wage."
333000,335000," I know, but like I'm doing like a..."
335000,336000," You see, I think it's like 14."
336000,337000," Let me look it up."
337000,338000," Okay."
338000,339000," Okay."
339000,340000," So we've got 100 people, okay?"
340000,341000," 1565 per hour."
341000,346000," So let's assume that we paid minimum wage, which we don't."
346000,347000," Okay."
347000,352000," So that would be $1,565 per hour."
352000,354000," What does that work out to in a work week?"
354000,356000," Let's say everyone was working 40 hours."
356000,358000," We have full time employees."
358000,360000," We're just doing this math live here."
360000,367000," That would be $62,600 per work week, which is only half of a pay period."
367000,368000," So times two."
368000,376000," Assuming, assuming that we paid minimum wage, which again, we do not."
376000,380000," That would be $125,000 per pay period."
380000,382000," Not including all other expenses."
382000,384000," Not including all other expenses."
384000,389000," Not including the fact that we know, in fact, do not pay anyone here minimum wage."
389000,397000," Not including the fact that you should have more than one freaking pay period in your bank account at a time."
397000,418000," So in the event that our company say we're to experience an event like this, where right now anyone with their deposits in SVB, if they didn't get them out already, and even if they did get them out, if they sent, if they withdrew money via a wire, like they sent out a wire, there is no guarantee."
418000,426000," Now that the bank has, my understanding is it's simply been seized by the federal government or something like that."
426000,427000," I don't know."
427000,433000," Yeah, so sorry for any little details here, but effectively its assets are under control by a third party now."
433000,439000," If that money simply does not come out, it's gone."
439000,445000," Now, there is some sort of stuff that were to happen here."
445000,449000," We would just be out, whatever was in that float account."
449000,453000," At least temporarily when you have bills to pay and salaries to fulfill."
453000,454000," Exactly."
454000,471000," Because if you factor in that this is a bank that specializes in startups, where they are theoretically putting their VC raised money that they are running off of, this is highly operational funds."
471000,477000," Yeah, this is wild. This could be, this could be even if, even a profitable company, okay?"
477000,479000," We are a profitable company."
479000,490000," But if you took our operating capital and just, even if you didn't eliminate it, if you froze it indefinitely, how do we run?"
490000,491000," Yeah."
491000,496000," How do I pay for whatever services you're logged in, float plane?"
496000,498000," How do I pay the bill?"
498000,499000," How do I pay you?"
499000,502000," How do I pay that guy?"
502000,507000," Right? Look how sad he would be if he didn't get any money."
507000,511000," This is wild."
