start,end,text
0,2000," What's up, dog?"
2000,11000," What's up everyone welcome to the wanchow we've got a fantastic show lined up"
11000,16660," You today you can tell because Riley came to check on us moments before we were about to start at me"
16660,18660," Seemed to be deeply concerned about something"
18660,24800," He's not concerned. We're gonna do a great job. All right fantastic"
25800,32900," We've got all the spicy updates for you. That's right. I'm pretty sure fired up Luke is coming back again this week"
32900,37680," He's gonna have the hot takes yeah, we've got an update for you guys on the ufi"
37680,43680," Doorbell security camera situation. There was a response to our wanchow segment"
43680,47400," From Rob from the YouTube channel the hookup"
47400,49880," So we're gonna be going through what?"
50800,58320," Ufi has or hasn't said what Rob said getting you guys all up to speed on that. We've also got an update for you guys on"
58320,62840," I don't know which one of these topics do"
62840,72040," Let's talk about the amazing video that hardware unboxed it on the new RTX 3060 which has the same name"
72040,80280," The same price and worse performance than the other more different RTX 3060 that sounds great good job"
80520,83440," Yeah, we also have open AI chatbot"
83440,91300," Whoo, I spent actually quite a few hours with it last night along with Conrad on the on the Shopify development team"
91300,94760," Boasty and some of us can't spend a few hours with anything"
94760,101240," It was crazy though, and I want to talk about all that and I want to talk about the things that other people did with it"
101240,103800," It's amazing also"
103800,106120," Which one of these do we want to go on?"
106120,108120," I"
108120,113600," Don't know Google's"
113600,124600," Google's second more quantum computer makes good a real life wormhole has been simulated and I love the sentence of"
124600,129560," real life and simulated at the same time. Let's go. Let's go"
129560,133920," And it works this week"
133920,135920," So"
135920,158600," Shows brought to you today by a new egg extra and uh-oh I wasn't looking"
159960,164200," Squarespace cool. Let's jump right into our first topic for the day"
164200,166840," We've got an update on the ufi situation"
166840,169240," Yes recap from last week"
169240,176640," Security researcher Paul Moore discovered that images and video from his ufi cameras were being stored in the cloud and"
176640,184520," We're easily accessible through plain text URLs despite ufi heavily marketing their local security"
184520,189040," So we've got some some examples here of ufis marketing"
189880,195440," Did it do do do do do what happens in your home. It stays in your home"
195440,202880," But do you what's the matter you too good for your home unless it doesn't unless it doesn't because you use our products in response to more"
202880,206080," The company said that they were aware that content was being uploaded"
206080,213680," Obviously they said they did it to enable push notifications with images calling this whole issue a misunderstanding"
214200,220840," They claimed to delete the content afterwards and planned to continue doing this but encrypt the API calls"
220840,225200," The content would still be there, but users wouldn't be able to see it"
225200,230360," yesterday Rob from the YouTube channel the hookup uploaded a critique of"
230360,235560," Our take last week on the Wancho and these are some of his main points"
235560,243080," One that uploading images slash video to the cloud is necessary in order to have push notifications with images a"
243520,249240," Local-only setup would require port forwarding that would expose data to the open web"
249240,254400," Which it's a little more complicated when you when you open up a port on your router"
254400,255520," You're not"
255520,263920," Exposing data to the open web you are exposing a port on your network to the open web through which a malicious actor could"
263920,266560," potentially do something"
266560,271680," But I think it's unlikely they would be able to you know"
272240,279840," It's in the movies where they can use that open port to hack into the mainframe and gain access to the system like that's not"
279840,285120," Probably going to be the the issue. Let me know about you"
285120,291440," He also said that unique URLs pointing to content or used to stream video through VLC are"
291440,299800," Only accessible by logging into the owner's ufi account since brute force guessing the URL would be incredibly difficult if not impossible"
300960,306880," Finally he pointed out that under GDPR ufi has 30 days to delete any personal information"
306880,314440," So Paul Moore deleting his content then finding it an hour later still in the cloud doesn't actually prove any sort of malfeasance"
314440,317360," Okay"
317360,324720," Unfortunately, some of those things love raw by the way gave me some really good help with some of the smart home stuff that I was doing over"
324720,326720," the last year"
326720,330360," Unfortunately, some of those things are not quite right"
331000,338520," Security research was saw researcher wasabi showed that you totally can brute force the URL which is"
338520,341640," Really really bad"
341640,348760," Yeah, so that's that's super not cool. It's also just completely not what they say they're doing yes"
348760,355320," Which is my like biggest problem. We're gonna get to that. Okay. Yeah, um and our team talked to an anonymous source"
355400,360320," This is bolded Riley really does not want me to talk about who we talked to so fine"
360320,368360," Who had knowledge of the matter who claims that there is at least one way that you can have local only push notifications with images"
368360,371480," By using a type of notification called a data notification"
371480,376920," Which can function with a callback directly to the app and not a cloud based URL"
376920,382360," Already then the source also found actually man, you know what okay?"
382360,390280," Can I can I have a short digression here? Yeah, okay Jake and I were working on a video yesterday where we finally set up the heating in my house"
390280,393160," I don't know if you noticed it's been a little cold lately. Yeah, um"
393160,399880," We've been using the heat pump, but I don't know if you know this but heat pipe heat pipes heat pumps are not super effective"
399880,402840," As you go further below zero degrees"
402840,405080," Okay, because they're pulling heat out of the air"
405080,407960," Yeah, and there's not a lot of heat in the air at a certain point"
407960,412520," right, so you rely on a delta between the whatever it is the boiling point of your"
412520,420520," Of your refrigerant and the and the surrounding air right so so our our heating system has been"
420520,424360," a little underwhelming for the last week or so"
424360,431000," So Jake and I finally set up the in store. Yeah, the in-floor radiant heat and it was just"
431000,433560," amazing how"
433560,437240," Responsive it was we'd be like activate heat in this zone"
437240,445720," And it's and it's done and the really like the most outstanding thing about that experience was that I shouldn't have been impressed"
445720,451800," All of this stuff. Yeah burn all of it should just run"
451800,454120," locally yeah"
454120,456760," Or at the very worst, okay"
456760,463400," It should be a dirt. Okay, if you have to send up a picture an image from my cloud cloud ass camera"
463640,466360," To my cloud ass connected phone or whatever"
466360,473800," Why why is it going through a third-party server ever there is actually no valid reason for it to do that?"
473800,476920," Yeah, okay. Hold on. I can come up with some valid reasons"
476920,480200," Okay, there's one valid reason could be if there's a transmission error"
480200,483960," Yeah, okay, and it needed to to to resend it or something"
483960,486600," It also be cached more easily that way. So if you don't have service"
486600,489000," Okay, there's valid reasons. Okay, I get it. There's valid"
489000,492600," Fine. Give me some more valid reasons. Nope. Nope. I want no more reasons"
492840,495640," No, we're done. No, this is a company where you can correct me in public"
495640,501480," One fight on one. You know we like half it's a rule there. Yeah, you have to"
501480,504440," Even when i'm right dammit you correct me"
504440,507240," Um"
507240,511400," But yeah, so what what really stood out to me was that I shouldn't be impressed"
511400,518040," All this stuff should just happen at line speed from my device to my other more different device"
518040,522360," And it just makes me so angry that we take for that we just accept"
523080,525080," that when I want to change the"
