start,end,text
0,3840," Welcome to the WAN show everyone."
3840,7880," The truth is, I screwed up this week."
7880,12780," It's very obvious that, I mean, I just couldn't conceal it anymore."
12780,17680," We were paid by NVIDIA for our RTX 4060 TI review."
17680,23800," And the scariest part of what I just said is that a not insignificant number of people"
23800,29560," are going to take that at face value, not watch any more of the video, and believe it"
29560,31960," for the rest of their days."
31960,36160," Let's talk about how confusing people found our review of the 4060 TI."
36160,41160," We're also going to be talking to you guys about how confusing I'm finding Sony's new"
41160,43640," handheld accessory."
43640,48280," It's a Wi-Fi based PlayStation 5 streaming thing."
48280,51080," Did they learn nothing from the Nintendo Wii U?"
51080,52680," What else we got going on this week?"
52680,57280," It does seem like the Wii U was just like actually too early at this point."
57280,58280," It's starting to feel that way."
58280,60520," It really feels like it."
60520,61520," Wow."
61520,63200," Invisible PC set up."
63200,64400," This was actually super cool."
64400,65400," Did you see this?"
65400,66400," I read the comments."
66400,67400," Oh, great."
67400,70320," We'll talk about it later because you'll probably need to see it if you want to talk"
70320,71560," about it more specifically."
71560,72560," But who knows?"
72560,73560," Maybe."
73560,74560," We'll see."
74560,81280," The National Eating Disorders Association replaced a helpline with a chatbot because clearly"
81280,85640," no one there has watched the WAN show."
85640,106000," Oh."
106000,111120," The show is brought to you today by Vessi, Signal Wire and Corsair."
111120,112360," All right."
112360,115480," We're going to jump right over to my laptop here."
115480,121440," And this is one of those things where, Luke, I feel like we need to open the conversation"
121440,123680," back up."
123680,126240," Open it back up about shadow banning companies."
126240,129040," Shadow banning people do it because just do it."
129040,135880," I actually found the comments section of this video extremely difficult to handle."
135880,138520," Let's see."
138520,139920," Some people get it."
139920,142120," Please keep calling out this nonsense."
142120,146120," This was an extremely negative review."
146120,149720," It started with, oh, thank you, NVIDIA."
149720,153160," At least you didn't downgrade this graphics card."
153160,160840," I literally, literally said something actually positive after some negative things."
160840,169720," And then I said, okay, that last one wasn't sarcastic because I am aware that a not insignificant"
169720,174560," portion of our audience does have a little bit of trouble picking up on sarcasm, whether"
174560,178520," it's like a social cue challenge thing or whether it's the fact that English isn't their"
178520,179520," second language."
179520,180840," English is a really weird language."
180840,183040," Rather is their second language."
183040,188040," So I made it actually explicit."
188040,196520," And the number of comments that are just, let me see if I can, let me see if I can, let"
196520,199600," me see if I can find this."
199600,201920," Oh, man."
