start,end,text
0,1000," be interesting."
1000,7640," What is up everyone?"
7640,9240," Welcome to The Wanshow."
9240,12720," We've got a great show lined up for you today."
12720,13720," Thank you, Luke."
13720,15200," That's really helpful."
15200,23000," Lots of fantastic topics, starting, of course, with YouTube hiking, the price of YouTube premium"
23000,29920," literally, literally a day after I go to bat talking about how, well, those are the"
29920,35960," services really expensive to run and there's a lot of challenges and data storage, or burp,"
35960,38600," I was only talking a little bit about that."
38600,44440," Also, we're going to be talking about AMD being kind of boned."
44440,47280," Right now, the situation is not looking good."
47280,51400," They've apparently cut production of their Ryzen 7000 chips."
51400,54080," What else we got lined up today, Luke?"
54080,61320," LTT in other languages, we actually have videos that we can show you on the actual channel."
61320,64440," We can show you how it works and we can show you the dubs."
64440,66000," I have not listened to them."
66000,68680," I will be first time reacting to this."
68680,70120," We'll see how it goes."
70120,72200," We are on Espenio."
72200,73680," On Espenio."
73680,77920," I honestly wasn't entirely sure that I could nail the pronunciation of that and I hadn't"
77920,80480," heard you say it yet, so I didn't want to do it."
80480,83960," Oh, I'm pretty sure I didn't nail it, Luke."
83960,84960," Is that the only one?"
84960,87000," Are we doing more languages beyond that?"
87000,88840," We're starting with Spanish."
88840,91120," Spanish, very cool."
91120,95480," Also, G4 TV is done again."
95480,98000," It's done again, not again."
98000,99320," Maybe not forever."
99320,100320," Who knows?"
100320,102080," But certainly for now."
102080,104480," But the most recent one is done."
104480,105480," Comcast pulled the plug."
105480,106720," We'll talk about that later."
106720,107720," Intro?"
107720,108720," Do I run the intro?"
108720,109720," I guess so."
109720,112160," I certainly can't."
112160,113160," Intro auto."
113160,114160," Got him."
114160,117480," Yeah, it worked."
117480,120120," And Linus, you're clipping a little bit on your side."
120120,122160," Could you move on away or speak quieter?"
122160,125960," I don't think you can do that."
125960,128600," I don't think I can do either of those things."
128600,129600," Okay."
129600,131600," We'll just deal with it."
131600,132600," Nice."
132600,133600," Vessi."
133600,134600," MSI."
134600,135600," And 45 drives."
135600,138600," Thank you very much."
138600,142560," I think this is going to be an interesting show because I realized during the intro that"
142560,144640," Linus does not have a swear button."
144640,145640," Oh, yeah."
145640,148400," I'm going to have to control myself today."
148400,152280," It's also going to be an interesting show because Luke disclosed to me before we started"
152280,153680," that he's on painkillers."
153680,155320," I'm on painkillers."
155320,156320," Let's go."
156320,158280," I don't know if you guys can notice."
158280,160680," But this side of my face is a little swollen."
160680,164120," We'll maybe talk about that later, even though it's kind of gross and not that interesting."
164120,165120," Let's go."
165120,166120," Oh, yeah."
166120,167120," Yeah."
167120,168120," It's an injury."
168120,169120," It's an injury."
169120,170720," It's the one side of Luke's mouth."
170720,171720," You know what I'm saying?"
171720,174040," Just to the one side."
174040,177040," Had some blunt force trauma."
177040,178360," And Linus isn't here."
178360,180360," I wonder what's going on."
180360,181360," He's cheating."
181360,182360," Oh, wow."
